county	tsa	district	rac	phr
atascosa	TSA-P	san_antonio	southwest_texas_rac	PHR-8
matagorda	TSA-Q	yoakum	southeast_texas	PHR-6/5s
jackson	TSA-S	yoakum	golden_crescent	PHR-8
de_witt	TSA-S	yoakum	golden_crescent	PHR-8
wilson	TSA-P	san_antonio	southwest_texas_rac	PHR-8
kinney	TSA-P	laredo	southwest_texas_rac	PHR-8
uvalde	TSA-P	san_antonio	southwest_texas_rac	PHR-8
lavaca	TSA-S	yoakum	golden_crescent	PHR-8
brazoria	TSA-R	houston	east_texas_gulf_coast	PHR-6/5s
wharton	TSA-Q	yoakum	southeast_texas	PHR-6/5s
medina	TSA-P	san_antonio	southwest_texas_rac	PHR-8
galveston	TSA-R	houston	east_texas_gulf_coast	PHR-6/5s
bexar	TSA-P	san_antonio	southwest_texas_rac	PHR-8
gonzales	TSA-P	yoakum	southwest_texas_rac	PHR-8
fort_bend	TSA-Q	houston	southeast_texas	PHR-6/5s
guadalupe	TSA-P	san_antonio	southwest_texas_rac	PHR-8
bandera	TSA-P	san_antonio	southwest_texas_rac	PHR-8
colorado	TSA-Q	yoakum	southeast_texas	PHR-6/5s
chambers	TSA-R	beaumont	east_texas_gulf_coast	PHR-6/5s
comal	TSA-P	san_antonio	southwest_texas_rac	PHR-8
real	TSA-P	san_angelo	southwest_texas_rac	PHR-8
caldwell	TSA-O	austin	capital_area_trauma	PHR-7
kendall	TSA-P	san_antonio	southwest_texas_rac	PHR-8
austin	TSA-Q	yoakum	southeast_texas	PHR-6/5s
fayette	TSA-O	yoakum	capital_area_trauma	PHR-7
harris	TSA-Q	houston	southeast_texas	PHR-6/5s
edwards	TSA-P	san_angelo	southwest_texas_rac	PHR-8
kerr	TSA-P	san_antonio	southwest_texas_rac	PHR-8
val_verde	TSA-P	laredo	southwest_texas_rac	PHR-8
waller	TSA-Q	houston	southeast_texas	PHR-6/5s
jefferson	TSA-R	beaumont	east_texas_gulf_coast	PHR-6/5s
hays	TSA-O	austin	capital_area_trauma	PHR-7
cameron	TSA-V	lower_rio_grande_valley	lower_rio_grande_valley	PHR-11
willacy	TSA-V	lower_rio_grande_valley	lower_rio_grande_valley	PHR-11
starr	TSA-V	lower_rio_grande_valley	lower_rio_grande_valley	PHR-11
